Neo Reference ID;name;diameter;close_approach_date;velocity;miss_distance;orbiting_body;Orbit Determination Date;Inclination;is_hazardous
3451790;3451790;0.2594418179;2009-05-15;35051.5379026642;25752592.0;Earth;2017-04-06 09:01:02;0.982605668768778;True
3463161;3463161;0.2366137501;2009-05-15;7915.599031681;23015560.0;Earth;2017-04-06 09:00:27;1.208356364937826;False
3713939;3713939;0.0411187571;2009-05-15;61108.4070997693;72491360.0;Earth;2017-04-06 08:34:59;7.219844820626601;False
3127387;3127387;0.0859092601;2009-05-22;47954.6261862941;40778728.0;Earth;2017-04-06 09:15:07;25.03110394159686;False
3445544;3445544;0.0714562102;2009-05-22;19409.5149466132;34125320.0;Earth;2017-04-06 09:01:28;8.137156646263824;False
3748472;3748472;0.0247765013;2009-05-22;15858.439497096;23804992.0;Earth;2017-04-06 08:27:11;2.07974763007612;False
3013655;3013655;0.8590926012;2009-06-08;56192.0448755192;56551280.0;Earth;2017-04-06 09:17:47;6.069897960297864;False
3364161;3364161;0.2844722965;2009-06-08;58418.3240634787;16713216.0;Earth;2017-04-06 09:07:17;4.967256748220445;False
3566699;3566699;0.0899580388;2009-06-08;79566.9416839062;46145652.0;Earth;2017-04-06 08:53:24;16.86324974114843;False
3760958;3760958;0.1968067451;2009-06-08;19639.6815369653;67382248.0;Earth;2017-04-24 06:22:06;13.70494915885895;False
3775156;3775156;0.5544213918;2009-06-08;70407.5193442742;50450480.0;Earth;2017-07-02 06:21:54;41.70743526929814;False
3462098;3462098;0.0714562102;2009-06-15;39423.548314148;5501939.5;Earth;2017-04-06 09:00:28;7.368062644323476;False
3548666;3548666;0.0179489885;2009-06-15;26480.5202518221;31305180.0;Earth;2017-04-06 08:56:19;3.845270311721902;False
3463079;3463079;0.2716689341;2009-06-22;58223.355824317;11025672.0;Earth;2017-04-06 09:00:27;5.341205465284249;True
2418849;2418849;0.4305662442;2009-06-22;63359.9164005887;6701694.0;Earth;2017-07-13 15:55:06;33.52410010026813;True
3283835;3283835;0.4943561926;2009-06-22;78737.9129396381;48086748.0;Earth;2016-08-01 07:47:53;6.059105248565197;False
3536565;3536565;0.0748238376;2009-06-22;30331.3033716312;30711316.0;Earth;2017-04-06 08:57:09;16.11294968443807;False
2469737;2469737;0.4943561926;2009-06-22;78737.9077418936;48086748.0;Earth;2017-04-06 09:19:15;6.057246557704326;False
3753715;3753715;0.3926810818;2009-06-22;52649.3005670941;64136160.0;Earth;2017-04-06 08:25:34;28.20250120553864;False
2301844;2301844;0.7145621017;2009-07-08;42684.641090622;33355246.0;Earth;2017-04-06 09:24:09;0.9284967827031068;True
2457768;2457768;1.30028927;2009-07-08;61001.476297092;30013616.0;Earth;2017-06-24 06:20:53;9.142568287439818;True
3283950;3283950;0.3750075218;2009-07-08;53207.418835751;33984688.0;Earth;2017-04-06 09:10:45;26.54810119733284;False
2203471;2203471;0.7835017643;2009-07-15;75666.8651367409;71746792.0;Earth;2017-04-06 09:25:34;17.18403472044009;False
3601407;3601407;0.2157943048;2009-07-15;72882.9306193748;68966096.0;Earth;2017-04-06 08:50:29;5.457216952466072;False
3685808;3685808;0.6824015094;2009-07-15;90825.639760426;35046800.0;Earth;2017-07-26 06:19:13;6.439916738771519;True
3557529;3557529;0.0567596853;2009-07-22;54376.7052557801;23078098.0;Earth;2017-04-06 08:54:28;15.68874073541279;False
3678609;3678609;0.023661375;2009-07-22;28470.2039009805;10946097.0;Earth;2017-04-06 08:39:26;6.854983563914328;False
2022771;2022771;2.5944181791;2009-07-22;49120.4993271386;42237556.0;Earth;2017-04-12 06:14:24;11.40093111251454;False
2055532;2055532;3.750075218;2009-07-22;125015.3114350144;64168484.0;Earth;2017-09-23 06:50:59;38.50829192872208;False
2309662;2309662;0.6516883822;2009-07-22;39389.2208291729;44507532.0;Earth;2017-04-06 09:23:56;16.15520761541733;False
3309476;3309476;0.2060819612;2009-07-22;21432.2033860293;60774068.0;Earth;2017-04-06 09:09:35;2.240073037425617;False
3337325;3337325;0.5943468684;2009-07-22;107569.8261979276;59290092.0;Earth;2017-08-07 06:17:55;20.07621968511919;False
3753721;3753721;0.5176544822;2009-07-22;68055.6375349682;23993404.0;Earth;2017-04-06 08:25:40;14.87306421790116;False
3684730;3684730;0.3750075218;2009-07-22;47343.082818532;39875740.0;Earth;2017-07-21 17:42:02;16.11051952565454;False
3778084;3778084;0.0745830224;2009-07-22;40334.8965885716;20308896.0;Earth;2017-08-09 06:17:19;20.02362329706324;False
2067381;2067381;0.6516883822;2009-08-08;98139.7198299211;50331856.0;Earth;2017-08-31 06:18:20;10.66572263549738;True
2293726;2293726;0.1794898848;2009-08-08;22787.3118066688;3225560.0;Earth;2017-04-06 09:24:11;2.008572387244131;False
3160727;3160727;0.5943468684;2009-08-08;35360.9154213216;39518056.0;Earth;2017-04-06 09:13:50;6.667337862373259;False
3395310;3395310;0.3750075218;2009-08-08;52491.4601331168;29685858.0;Earth;2017-04-06 09:05:07;12.25050811212299;False
3455100;3455100;0.3266178974;2009-08-08;43583.5509151687;43604240.0;Earth;2017-04-06 09:00:55;0.5536883832554448;True
3464007;3464007;0.2978790628;2009-08-08;39207.4806287934;5920887.0;Earth;2017-04-06 09:00:22;9.373661156252869;True
3465690;3465690;0.1879489824;2009-08-08;52948.1292235744;5172432.0;Earth;2017-04-06 09:00:17;5.5928316089313;False
3703077;3703077;0.0682401509;2009-08-08;24486.0867177176;48219308.0;Earth;2017-04-06 08:36:38;11.27759809454881;False
2490354;2490354;0.3266178974;2009-08-08;43583.5510213936;43604240.0;Earth;2017-05-15 19:06:05;0.5536382196600321;True
2011066;2011066;5.4205078634;2009-08-15;94013.700523326;57247804.0;Earth;2017-06-22 06:21:06;36.88285706608059;False
3288441;3288441;0.7482383761;2009-08-15;111191.1553001203;44549632.0;Earth;2017-04-06 09:10:41;17.41337888169895;True
2347813;2347813;1.7141150923;2009-08-22;37197.5710111312;54732752.0;Earth;2017-08-01 06:19:08;19.12386492180311;False
3465951;3465951;0.1714115092;2009-08-22;34421.5635042907;9193640.0;Earth;2017-04-06 09:00:12;14.24739568896478;False
3602686;3602686;0.3119176705;2009-08-22;60788.2415175929;62300824.0;Earth;2017-04-10 11:57:48;7.569147895966372;False
3754386;3754386;0.6516883822;2009-08-22;56187.6825392543;70960632.0;Earth;2017-04-06 08:25:12;16.29168889742051;True
3656925;3656925;0.2716689341;2009-08-22;37796.6284976333;28749162.0;Earth;2017-08-10 06:17:41;17.1434789112377;False
2311555;2311555;1.2417666126;2009-09-08;73450.0545104606;57157832.0;Earth;2017-04-06 09:23:52;15.76173374176233;False
3255174;3255174;0.0430566244;2009-09-08;63562.4603287351;41867572.0;Earth;2017-04-06 09:12:11;18.42301551600615;False
3479138;3479138;1.1325046106;2009-09-08;33349.697171581;69022664.0;Earth;2017-04-06 08:58:50;20.7834796079621;False
3755113;3755113;0.1361570015;2009-09-08;69064.4643456377;70160544.0;Earth;2017-04-06 08:25:06;15.63510813319293;False
3767244;3767244;0.9863702813;2009-09-08;124932.0062221171;56611016.0;Earth;2017-04-06 08:20:39;24.6062130177394;False
2420738;2420738;0.411187571;2009-09-15;51172.1315576982;51275048.0;Earth;2017-04-06 09:21:07;16.45690372081749;False
3468431;3468431;0.0986370281;2009-09-15;34177.1741649127;3507341.75;Earth;2017-04-06 08:59:50;3.826655010154704;False
3520662;3520662;0.0171411509;2009-09-15;20462.4921642788;28406000.0;Earth;2017-04-06 08:57:36;0.7199002969586799;False
3699902;3699902;0.0247765013;2009-09-15;7088.3284822336;23955882.0;Earth;2017-04-06 08:37:35;0.5961962327169534;False
3467261;3467261;0.2259643771;2009-09-15;50153.1362581421;24321062.0;Earth;2017-04-06 08:59:56;23.73870968884856;False
3467220;3467220;0.2060819612;2009-09-22;77794.4344562374;8249721.0;Earth;2017-04-06 09:00:00;32.09579987978661;False
3467316;3467316;0.0748238376;2009-09-22;31299.953426784;3361163.5;Earth;2017-04-06 08:59:55;9.760611734112304;False
3608620;3608620;0.1132504611;2009-09-22;48366.8954281573;21914618.0;Earth;2017-04-06 08:49:02;24.77533426614956;False
3703545;3703545;0.2060819612;2009-09-22;61738.9112401844;71509688.0;Earth;2017-04-06 08:36:26;6.321997456036145;False
3760440;3760440;0.0206081961;2009-09-22;33501.682005023;20906596.0;Earth;2017-04-06 08:23:21;6.740985068428607;False
3768616;3768616;0.1241766613;2009-09-22;37576.3831474518;41037632.0;Earth;2017-04-06 08:20:15;0.8984182014991869;False
2068216;2068216;2.978790628;2009-10-08;44330.6121589886;3766665.5;Earth;2017-04-06 09:28:49;17.99812315250017;True
3024696;3024696;0.4721064988;2009-10-08;31771.9686807904;44520300.0;Earth;2017-04-06 09:17:19;6.610113513373676;False
3428700;3428700;0.2477650126;2009-10-08;82128.3367581212;29618518.0;Earth;2017-04-06 09:02:45;21.07402946333978;False
3467151;3467151;0.4721064988;2009-10-08;50933.2742042461;20209768.0;Earth;2017-04-06 09:00:04;22.56826663239321;False
3468526;3468526;0.1241766613;2009-10-08;25562.7415904508;8949588.0;Earth;2017-04-06 08:59:49;2.813512623478964;False
3471219;3471219;0.0206081961;2009-10-08;54925.4537215344;304895.40625;Earth;2017-04-06 08:59:41;1.556316371262364;False
3471140;3471140;0.2060819612;2009-10-08;40374.870451231;9995172.0;Earth;2017-04-06 08:59:43;20.17207426647966;False
3602839;3602839;0.0859092601;2009-10-08;45908.2196464309;42017328.0;Earth;2017-04-06 08:49:59;23.01931845137059;False
3634154;3634154;0.0326617897;2009-10-08;46983.7213294784;58469344.0;Earth;2017-04-06 08:46:16;0.01451294322958202;False
3758270;3758270;0.2716689341;2009-10-08;57396.8557174554;990587.1875;Earth;2017-04-06 08:24:18;4.860638384688071;True
3767316;3767316;0.0783501764;2009-10-08;53771.3401674236;56826416.0;Earth;2017-04-06 08:20:31;12.56701875577664;False
3471218;3471218;0.0567596853;2009-10-15;37523.5421498417;4580739.5;Earth;2017-04-06 08:59:41;11.49094556055194;False
3471523;3471523;0.0342010925;2009-10-15;26131.2744255569;9258955.0;Earth;2017-04-06 08:59:37;13.28081866793259;False
3472371;3472371;0.0651688382;2009-10-15;34412.4455422079;20328326.0;Earth;2017-04-06 08:59:25;17.46302981921814;False
3476130;3476130;1.1325046106;2009-10-15;135380.1497866024;35658884.0;Earth;2017-04-06 08:59:14;61.89314902927048;False
2232691;2232691;0.6516883822;2009-10-15;37003.7495360711;28687312.0;Earth;2017-07-19 06:20:34;9.07986294867288;True
2277475;2277475;0.5675968529;2009-10-15;24603.8028290855;46446400.0;Earth;2017-04-06 09:24:26;9.843262550594543;True
3435023;3435023;0.0682401509;2009-10-15;23274.1868160416;11802212.0;Earth;2017-04-06 09:02:22;3.237150852302717;False
3458580;3458580;0.9863702813;2009-10-15;68232.0569419688;71339104.0;Earth;2017-04-06 09:00:42;37.9905247187242;False
3467355;3467355;0.6223575734;2009-10-15;56195.3771223329;9360334.0;Earth;2017-04-06 08:59:54;8.444357829868622;True
3471585;3471585;0.0284472297;2009-10-15;47103.4949116802;3591049.25;Earth;2017-04-06 08:59:35;24.78037108285349;False
3472299;3472299;0.3926810818;2009-10-15;76098.7063033812;2168158.25;Earth;2017-04-06 08:59:28;42.0487345716077;True
3484640;3484640;0.5420507863;2009-10-15;48648.9826893625;60681592.0;Earth;2017-04-06 08:58:42;1.323265279094083;False
3611402;3611402;0.0986370281;2009-10-15;76338.8854403249;51697076.0;Earth;2017-04-06 08:48:33;33.43650172310035;False
3617713;3617713;0.0247765013;2009-10-15;31140.5210493859;43626704.0;Earth;2017-04-06 08:48:00;0.8057978515425388;False
3468527;3468527;0.1132504611;2009-10-15;35785.375083172;13407812.0;Earth;2017-04-06 08:59:48;9.676830169742416;False
3471657;3471657;0.0358129403;2009-10-22;49277.4795545926;2609533.5;Earth;2017-04-06 08:59:33;7.291981211698259;False
3634784;3634784;0.1241766613;2009-10-22;73860.8804200937;44308368.0;Earth;2017-04-06 08:46:06;18.07789285495465;False
2141526;2141526;0.6223575734;2009-10-22;76109.2695700438;55678156.0;Earth;2017-04-06 09:27:32;30.09730112914286;False
2413563;2413563;1.7948988478;2009-10-22;43005.7465042439;63435208.0;Earth;2017-07-01 06:49:29;23.33750568269973;False
3433064;3433064;0.2366137501;2009-10-22;46235.016280921;54146148.0;Earth;2017-04-06 09:02:28;24.8366428337389;False
3693428;3693428;0.0284472297;2009-10-22;41065.8618584268;47587800.0;Earth;2017-04-06 08:38:07;8.244025210231811;False
3715435;3715435;0.0986370281;2009-10-22;50573.8684519002;50472928.0;Earth;2017-04-06 08:34:36;5.616889274054556;False
3734558;3734558;0.0284472297;2009-10-22;25321.7527155499;21974426.0;Earth;2017-04-06 08:30:40;11.6578340705379;False
